,Index,Cities,Recipient Name,Lat,Lon,Long Description,Value,YEAR,Donor Agency,duplicate_project,City
10,77.0,Amman,Jordan,31.9515694,35.9239625,"Lacking income and employment opportunities represent a major challenge in the MENA region. This also applies to Jordan, where official unemployment among youth has reached more than 40% (15-24 years, 2021). This is due to cultural values and often poor quality of trainings provided by Vocational Institutes in Jordan.  people thus have few opportunities for economic participation and employment, while the private sector suffers from a shortage of qualified employees. ŒThis measure represents the second phase if a very closely interlinked first phase (see 37524) of the overall concept 'HTUplus'. ŒThe aim of HTUplus is to increase the attractiveness of Technical and Vocational Education and Training (TVET) and thus to contribute to a mind-shift among younger population in Jordan, where an academic career is considered as the preferable path to strive for. Œ ŒPhase I foresees i) construction and equipment of a new TVET campus under the umbrella of the Al Hussein Technical  (HTU) in Amman, and ii) rehabilitate, upgrade and provide modernized training courses in selected areas of the public vocational institutes in Irbid for their long-term integration into the HTUplus model. Œ ŒPhase II (consisting of 40425 and 40322) is intended to provide further support to the project partner HTU as lighthouse of labormarket-oriented TVET and in acting as driver of change, reforming the TVET sector in Jordan. Under Phase II, the concept of HTUplus is to be extended to additional 6 TVET institutes, geographically located all across Jordan. Rehabilitation and construction works, as well as a modernization of training capacities and programmes in selected areas ought to pave the way for a long-term integration under the umbrella of HTUplus in order to support a nationwide breakthrough of practice-oriented and high-quality TVET in Jordan. Œ",0.0,2022.0,BMZ,yes,Amman
11,83.0,Bo,Sierra Leone,7.962065,-11.73665,"Improving access to SRHR for 41,868 people in Bo, Bombali, and Tonkolili districts in Sierra Leone through intensive lobby&advocacy work",0.0,2022.0,BMZ,no,Bo
12,93.0,Opportunity,Bangladesh,,,"Resilience, Empower, Support and Opportunity for Underprivileged Communities to Reduce Climate Change Effects, phase 3",0.002280105,2022.0,BMZ,no,Opportunity
13,94.0,Tamale,Ghana,9.4051992,-0.8423986,"Reduction of youth unemployment through vocational training in Tamale and Wa, Northern Region and Upper West Region, Ghana",0.00029776,2022.0,BMZ,yes,Tamale
14,95.0,Laval,Haiti,18.4485502,-72.4123528,"Strengthening the potential of youth, farming families, women's groups and school children to change the environment in Laval",0.00033735,2022.0,BMZ,no,Laval
15,96.0,La Laja,Bolivia,-18.2536787,-64.2961226,"Promoting indigenous women and young people and their families in their productive and articulation skills in the municipality of La Laja, Bolivia",0.0008925,2022.0,BMZ,no,La Laja
16,112.0,Same,Tanzania,-4.0681581,37.743808,"Integrated rural development project of the Diocese of Same, Tanzania",0.0006342,2022.0,BMZ,no,Same
17,135.0,Cartagena,Colombia,10.4195841,-75.5271224,"Implementation of measures in deprived areas of Cartagena a contribution to improving self-sufficiency, securing livelihoods and preventing violence.",0.000306,2022.0,BMZ,no,Cartagena
18,137.0,Goma,Democratic Republic of the Congo,-1.6665685,29.225652,"Empowering the youth of Goma to develop sustainable small-scale agribusinesses, DR Kongo",0.00125052,2022.0,BMZ,no,Goma
19,149.0,Central,Tunisia,,," enterpreneurs (especially innovative start-ups) face - based on their higher risk-profile and regulatory as well as administrative obstacles - restricted access to commercial bank loans (financing gap). This inhibits growth and innovation of the Tunisian economy and exacerbates positive employment effects. The Equity Funding Program aims to enhance employment by advancing the Tunisian financial and private sector. The long-term goal of the program is to improve access to finance for innovation- and growth-oriented start-ups as well as to achieve a lasting positive impact on the Tunisian job market. To reach that goal, the program backs public efforts, mobilizes private capital and equity investments through its fund of funds ANAVA or other partnering regional VC funds. Œ ŒCentral measures: Œ - Fund of funds ANAVA Œ - Establishment of a fond management incubator Œ - Management trainings Œ ŒThe target group of the program encompasses innovative and growth-oriented start-ups as well as their employees. The program is managed by Smart Capital S.A. and funded by KfW along with Caisse de Dépôt et Consignations (CDC, refinanced by World Bank). Furthermore, The Equity Funding Program cooperates and partners with further regional players. The program is exclusively focused on Tunisia.",0.022449419300000002,2022.0,BMZ,no,Central
20,156.0,Bay,Indonesia,,,"Sustainable Development and Mangrove Conservation in the Bay of Tomini, Indonesia.",0.0,2022.0,BMZ,no,Bay
21,157.0,Cochabamba,Bolivia,-17.401245799999998,-66.16756808852,Awareness program on waste sorting and recycling and capacity building of collectors through the expansion of a recycling cooperative in Cochabamba,0.0,2022.0,BMZ,no,Cochabamba
22,165.0,Wa,Pakistan,,,"Strengthening resilience of vulnerable rural groups in Umerkot, through income generation, adapted methods of farming, and WaSH",0.0,2023.0,BMZ,no,Wa
23,174.0,Shaping,Iraq,,,Shaping the Future: Cross-Province Youth Dialogue and Activity Platforms for Strengthening civil society engagement of young people,0.0,2022.0,BMZ,no,Shaping
24,176.0,Gaza,Palestinian Territory,31.5128679,34.4581358,"The living conditions of the population in the Gaza Strip is characterized by repeated conflicts and the tense socio-economic situation. The project aims to address unemployment among the refugees in Gaza and thus contributes to the stabilization of their livelihood. The short-term job opportunities at UNRWA facilities and with local contractors as well as the rehabilitation of social infrastructure enables the provision of important basic services to Palestine refugees in Gaza. Œ ŒThe aim of the project is strengthening the resilience of Palestinian refugees by providing temporary income opportunities and an introduction to the labour market (primary objective) as well as sustaining access to basic social services and infrastructure (secondary objective). Œ ŒThe target group are vulnerable Palestinian refugees of working age (18-65 years). A total of 10,150 people are expected to receive temporary employment. At least 3000 of the beneficiaries are women. The special consideration given to university graduates who gain work experience under the project aims to support them enter the labor market. In addition to the direct target group of employees, their families (app. 46,000 people) as well as the users of the rehabilitated infrastructure (app. 11,000) will benefit as well. Overall, the projected number of direct and indirect beneficiaries is appr. 67,150 refugees. Double counting cannot be completely excluded. Œ ŒThe TDA financed project is implemented by UNRWA in Gaza. Œ",0.14,2022.0,BMZ,yes,Gaza
25,182.0,Tarija,Bolivia,-21.583333,-63.833333,"Development of climate-adapted small scale agriculture to ensure food security in the counties of Tarija and San Lorenzo, Bolivia",0.00072,2022.0,BMZ,yes,Tarija
26,184.0,Aswan,Egypt,24.091071,32.897306,"Improving the learning ability and coexistence of primary school children in Aswan, Cairo, Naser el Noba and Minia",0.0,2022.0,BMZ,yes,Aswan
27,191.0,Khairpur,Pakistan,27.5295402,68.7634109,"Promoting socio-political engagement of smallholder farmers and more sustainable agriculture in Khairpur, Sindh, Pakistan",0.00025525,2022.0,BMZ,no,Khairpur
28,201.0,Beirut,Lebanon,33.88922645,35.50255852895232,"On 4 August 2020, a devastating explosion struck the port of Beirut, destroying much of the port facilities and causing severe damage to surrounding neighbourhoods within a radius of several kilometres. The disaster killed over 200 people, injured about 7,000 and left an estimated 300,000 residents with damaged homes. By restoring municipal and public infrastructure and services, the living conditions of the residents in the neighbourhoods destroyed by the explosion in the port of Beirut as well as the residents of other neighbourhoods in need are to be improved. Participatory project preparation and implementation as well as targeted peacebuilding measures are to contribute to reducing social tensions, increasing the resilience of the residents and the supported institutions and strengthening trust in state actors. Œ ŒMeasures in this regard are: Œ Creating opportunities for population participation and implementing the suggestions gained, if feasible. Œ In accordance with the open programme approach resulting, among other things, from population participation, individual measures from the following areas are possible: Œ o Improvement of selected sections of the road network and the associated stormwater and wastewater networks; Œ o Rehabilitation of selected public spaces; Œ o Rehabilitation and equipping of selected public buildings in conjunction with renewable energy generation; Œ o Capacity building of municipal staff and other project partners in the provision, operation and maintenance of the financed infrastructure; Œ o Implementation of targeted peacebuilding, community-based interventions by local NGOs.",0.02,2022.0,BMZ,no,Beirut
29,223.0,Fort Portal,Uganda,0.6561907,30.2779432,"Promoting civic education to improve understanding of democracy and human rights in the diocese of Fort Portal, Uganda",0.00031,2022.0,BMZ,no,Fort Portal
30,224.0,Amman,Jordan,31.9515694,35.9239625,"Improving resilience and psychological well-being, protection and accompaniment for refugees in Amman",0.00133,2022.0,BMZ,no,Amman
31,237.0,Rumbek,South Sudan,6.8063901,29.6767488,Positive integration of rural communities into the peace economy in the Rumbek centre and the Wulu counties - continuation,0.0,2023.0,BMZ,no,Rumbek
32,239.0,Lomé,Togo,6.130419,1.215829,"Improving the employability of young graduates in Lomé, Togo",0.00054,2022.0,BMZ,no,Lomé
33,243.0,Bauchi,Nigeria,10.6228284,10.0287754,Improving access to drinking water and supporting peace work in the diocese of Bauchi,0.0005,2022.0,BMZ,no,Bauchi
34,245.0,Nyeri,Kenya ,,,"Towards effective and accountable social protection programmes in the counties of Kirinyaga, Murang´a and Nyeri, continuation.",0.0,2023.0,BMZ,no,Nyeri
35,277.0,Les Cayes,Haiti,18.1944428,-73.7511601,"Strengthening and further development of agro-ecological measures in the communities of Roche à Bateau and Port Salut, Diocese of Les Cayes",0.000504,2022.0,BMZ,no,Les Cayes
36,286.0,Makeni,Sierra Leone,8.5232766,-11.8264002,Inclusive educational support for blind and visually impaired secondary school students in Makeni,0.0,2022.0,BMZ,no,Makeni
37,289.0,Potosí,Bolivia,-20.666667,-66.666667,Promoting sustainable mining and demanding the rights of mine workers in the north of Potosí and Oruro,0.0021005,2022.0,BMZ,yes,Potosí
38,293.0,San Juan,El Salvador,,,Consolidation of the agroecological process and environmental protection in the Vicariate of San Juan Bautista in El Salvador,0.00060585,2022.0,BMZ,no,San Juan
39,300.0,Goma,Democratic Republic of the Congo,-1.6665685,29.225652,Preparation and observation of the upcoming parliamentary and presidential elections in the diocese of Goma,0.00043,2022.0,BMZ,no,Goma
40,303.0,Arequipa,Peru,-16.0,-72.25,"El proyecto prevé la introducción de un sistema integral para el manejo de residuos sólidos en las provincias de Arequipa, Tacna y Coronel Portillo que sea ambientalmente responsable, eficiente en recursos y económicamente viable. La unidad implementadora del proyecto es el Ministerio del Ambiente de Perú (MINAM) y la operación y el mantenimiento de las inversiones son responsabilidad de las administraciones provinciales y distritales. Las inversiones incluyen la construcción de rellenos sanitarios de disposición final, plantas de clasificación, plantas de compostaje, estaciones de transferencia (dos en Arequipa y una en Tacna) y la adquisición del equipamiento móvil para la recolección y el transporte de residuos sólidos (contenedores, recolectores etc.). Además, está prevista la construcción de una planta de tratamiento mecánico-biológico en Arequipa. El proyecto apoya al gobierno peruano en sus esfuerzos para garantizar que el 100% de los residuos recogidos en Perú sea desechado y reciclado ambientalmente adecuado. La medida complementaria abarca medidas de apoyo al personal de las administraciones provinciales y distritales y de la unidad implementadora. También pretende aumentar la recuperación de costos a través de tarifas de residuos sólidos. Además, se realizarán medidas de sensibilización de la población con respecto a la separación de residuos y al nuevo sistema de manejo integral de residuos. De esta manera se apoya a los esfuerzos del MINAM para introducir la separación de residuos en los hogares (Ley de Gestión Integral de Residuos Sólidos, mayo 2020) y para promover el reciclaje. Finalmente, la eliminación adecuada en los rellenos sanitarios ahorra emisiones de gases de efecto invernadero, contribuyendo al logro de los objetivos climáticos de Perú.",0.0,2022.0,BMZ,yes,Arequipa
41,310.0,Koulikoro,Mali,13.48200225,-7.616857001709825,"Integrated Development Program for 17 villages in the rural community of Bossofala, Koulikoro, 2nd phase",0.002302105,2022.0,BMZ,no,Koulikoro
42,313.0,La Paz,Honduras,14.3106463,-87.74067225103724,"Strengthening organic agriculture and housing improvement in rural communities of the departments of Francisco Morazán and La Paz, Honduras",0.00085075,2022.0,BMZ,no,La Paz
43,322.0,Mount Lebanon,Lebanon,34.29,36.092,"Improving food security and building socio-economic resilience in crises and at community level in Bekaa Valley, Mount Lebanon",0.0016,2022.0,BMZ,no,Mount Lebanon
44,324.0,San Salvador,El Salvador,13.6989939,-89.1914249,Protection of human rights in the archdiocese of San Salvador,0.001377,2022.0,BMZ,no,San Salvador
45,325.0,Phnom Penh,Cambodia,11.568271,104.9224426,Empowering communities to improve basic services and livelihoods in the poor settlements of Phnom Penh in Cambodia,0.000405,2022.0,BMZ,no,Phnom Penh
46,329.0,Chimbote,Peru,-9.0744966,-78.593609,"The project aims to provide the hygienically and ecologically safe collection and treatment of wastewater of Chimbote and Nuevo Chimbote in Peru. The project will contribute to improving the health situation of the population (currently approx. 375,000 inhabitants) and to protecting water resources as well as the Bay of Chimbote. The project includes the construction of a wastewater treatment plant with a main sewer and pump stations. The treatment plant consists of several wastewater treatment stages as well as mechanisms for sewage sludge treatment. The produced sewage gas will be used to heat the digesters and to generate electrical energy. The treated wastewater will be discharged to the open sea through a marine outfall pipe. The new treatment plant will replace the current plant, which functions inadequately and whose effluents enter mainly untrated into Chimbote Bay. There has been an intensive consultation process with the local population regarding the project design. Furthermore, ways to reuse the treated wastewater for agriculture will be examined within the project. In view of the increasing water scarcity in Peru's arid coastal regions, the project is making an important contribution to climate change adaptation.",0.0,2022.0,BMZ,yes,Chimbote
47,334.0,Kara,Togo,9.541111,0.7876018299289109,"Le projet ""Fonds d'Appui aux Collectivités Territoriales (FACT)"" met à disposition des moyens pour soutenir la décentralisation togolaise. Les fonds du FZ doivent être mis à disposition dans un ""guichet"" spécifique pour le financement d'infrastructures communales sociales et économiques (surtout des centres de santé, des écoles et des infrastructures de marché). Les zones d'intervention prévues pour cette phase sont les régions des Plateaux, de Centrale et de Kara. L'objectif du projet est que les communes réalisent des investissements durables et basés sur la demande dans le cadre du système de transfert financier (FACT). Œ ŒLe promoteur du projet est le Ministère de l'Administration Territoriale, de la Décentralisation et du Développement des Territoires, qui en délègue la mise en oeuvre au ""Secrétariat Technique"" du FACT. Un consultant international appuiera l'unité de gestion du projet au sein du Secrétariat Technique FACT et soutiendra les communes, jusqu'à présent parfois encore très faibles en termes de personnel et de finances, surtout dans le domaine de la maîtrise d'ouvrage. Le financement est approuvé en fonction des demandes de projets adoptées au niveau communal, qui peuvent être soumises par les 69 communes au total dans les 3 régions. Le groupe cible est constitué de tous les habitants des communes subventionnées. Afin de garantir une gestion adéquate des risques environnementaux et sociaux, le consultant assistera le promoteur au début et pendant la phase de mise en oeuvre du projet. Œ ŒCette première phase est dotée d'un budget de 20 millions d'euros. Le projet fait partie du partenariat de la réforme avec le Togo, des prestations complémentaires sont fournies par le projet de décentralisation de la GIZ.",0.0,2022.0,BMZ,yes,Kara
48,361.0,Medellín,Colombia,6.2443382,-75.573553,"Social and educational work with young people from underprivileged districts of Medellín, phase 2",0.00037407,2022.0,BMZ,no,Medellín
49,364.0,Loreto,Peru,-5.0,-75.0,"Perú es uno de los países con mayor biodiversidad del mundo. Asimismo, los bosques de las áreas protegidas de Perú prestan importantes servicios ecosistémicos. Sin embargo, la gestión de las áreas protegidas en la región amazónica de Perú no puede garantizar suficientemente la conservación de los ecosistemas. Esto se aplica en particular al control de las zonas y a la participación de la población local en el uso sostenible de los recursos naturales. ŒEl proyecto ""Financiación Sostenible del Sistema Nacional de Áreas Protegidas II"" pretende una gestión eficaz y orientada al impacto de las áreas protegidas en la región amazónica de Perú y así preservar los ecosistemas biodiversos y sus servicios. También contribuye a los objetivos de ""Proteger y gestionar de forma sostenible los ecosistemas terrestres y los bosques"" (ODS 15) y ""Garantizar modalidades de consumo y producción sostenibles"" (ODS 12). ŒLas medidas para alcanzar los objetivos consisten en la mejora de la monitorización y el control de la superficie de las zonas protegidas prioritarias, así como en mecanismos participativos para la gestión sostenible de los recursos naturales. Además, hay que reforzar institucionalmente a los principales actores. Esta combinación de medidas pretende hacer más eficiente la gestión de las áreas protegidas y orientarla a los impactos. ŒEl proyecto se ejecuta con el Ministerio de Economía y Finanzas de Perú, que es el receptor de los fondos y el organismo formal de ejecución del proyecto. Recibe una subvención de 25 millones de euros en el marco de un programa presupuestario basado en resultados. ŒEl grupo meta es la administración nacional de áreas protegidas, los gobiernos regionales de los departamentos de Loreto, Cusco y Ucayali, así como la población local e indígena de las áreas protegidas y sus alrededores. ŒLa zona del proyecto abarca 15 áreas protegidas nacionales y cuatro áreas protegidas regionales en los departamentos de Loreto, Ucayali y Cusco.",0.0,2022.0,BMZ,yes,Loreto
50,369.0,Panamá,"America, regional",,,"En el marco del Programa de Recuperación Verde, se concederá al Banco Centroamericano de Desarrollo (BCIE) un préstamo concesional de hasta 250 millones de EUR (en equivalente USD). El préstamo está destinado a financiar inversiones climáticas privadas y públicas, tanto en mitigación como en adaptación climática, que contribuyan a la recuperación de la economía después de la crisis del COVID-19. Se podría financiar inversiones en las infraestructuras urbanas y la gestión del agua, las tecnologías respetuosas con el medio ambiente o los procesos de producción, Œlas energías renovables y eficiencia energética, medidas de adaptación en las ciudades, financiación de las MIPYMEs, etc. Se puede usar los fondos del préstamo en Honduras, Guatemala, El Salvador, Nicaragua, Costa Rica, Panamá, la República Dominicana y Belice. Œ",0.4755410445,2022.0,BMZ,no,Panamá
51,377.0,Kankan,Guinea,10.6248355,-9.3175166,"Education and health promotion in Dalaba, Kankan",0.00042905,2022.0,BMZ,no,Kankan
52,389.0,Cape Town,South Africa,-33.928992,18.417396,"Strengthening spatial, social and economic justice through civic participation in Cape Town, South Africa",0.000275,2023.0,BMZ,no,Cape Town
53,399.0,Phnom Penh,Cambodia,11.568271,104.9224426,Promoting self-help for residents of poor neighbourhoods in Phnom Penh affected by land and housing issues,0.00074525,2022.0,BMZ,no,Phnom Penh
54,403.0,Rasht,Tajikistan,,,"Tajikistan is the country most affected by climate change and at the same time the poorest country in  . Scarcity of natural resources and lack of alternative income sources lead to overgrazing and deforestation, and consequently to continued degradation of productive resources as well as landslides and floods. The FC measure ""Strengthening rural development through adapted land-use and reducing the risk of disasters"" supports the rural development of selected districts of Tajikistan (Khovaling, Muminabad, Rasht, Panjakent and Kulob City) by reducing the risk natural disasters. Based on integrated land-use plans for sustainable forest and pasture management watersheds are reforested and sustainably managed, the population is equipped with firewood-saving technologies, and some infrastructure elements for erosion and flood control are built. Depending on the local vulnerability to disasters and the potential for implementing integrated forestry and pasture management approaches, micro-catchments will be selected in the districts based on various criteria. Energy-saving technologies and small-scale infrastructure measures will be implemented in a complementary manner in locations with functional relationships to forest and pasture activities. A budget of EUR 20 million is available for the FC measure. The target group of the measure are upstream forest and pasture users and the disaster-affected population in the 4 districts mentioned. A participatory, integrated, and watershed-based forest and pasture management will contribute to increased sustainability and to reduced risks of erosion, drought, landslides, and floods. In addition, appropriate protective structures will contribute to mitigating the existing residual risk of landslides and floods.",0.0,2022.0,BMZ,yes,Rasht
55,407.0,Kinshasa,Democratic Republic of the Congo,-4.3217055,15.3125974,Improving access to potable water and hygiene and sanitation in the outskirts of Kinshasa,0.002079,2022.0,BMZ,no,Kinshasa
56,434.0,Nazareth,Israel,32.7066301,35.3048161,Strengthening the Arab-Palestinian youth in the Nazareth region,0.000315,2022.0,BMZ,no,Nazareth
57,435.0,Ressano Garcia,Mozambique,-25.441999,31.991325,Promoting rights of migrants in Ressano Garcia,0.0007925,2022.0,BMZ,no,Ressano Garcia
58,438.0,Palestine,Palestinian Territory,31.462420950000002,34.262716572130714,"With its approximately 2 million inhabitants, the Gaza Strip is one of the most densely populated areas in the world. Around 1.4 million people (approx. 70% of the population) have been living in the Gaza Strip as UNRWA-registered refugees for more than 70 years. Their living situation is characterized by the ongoing conflict situation, which repeatedly escalates violently - most recently in May 2021 and August 2022 - and the land, sea and air blockade imposed by Israel that has lasted for 16 years. In addition to the recurring escalations, the socio-economic crisis situation that has persisted for years has had an impact on the living conditions of many residents of the Gaza Strip. In view of increasing poverty, population growth, rising costs for maintenance/repairs and a simultaneous shortage of living space, the already precarious housing conditions of many Palestine refugees have deteriorated dramatically since 2014. The rehabilitation of so called ""substandard shelters"" has therefore become a priority to support vulnerable families to improve their immediate living conditions. Œ ŒThe target group of the project are vulnerable Palestinian refugees in precarious living conditions in the Gaza Strip. Families are prioritized according to their housing situation (technical/structural criteria) and based on multidimensional vulnerability criteria. In this first phase of the project, around 220 of the neediest families will be supported to comprehensively rehabilitate their residential units. Works are implemented independently by the beneficiaries (""self-help approach"") or their self-selected construction companies and craftsmen with financial support and close monitoring by UNRWA. Œ ŒThe project executing agency is the United Nations Relief and Works Agency for Palestine Refugees in the Near East (UNRWA).",0.08,2022.0,BMZ,no,Palestine
59,442.0,Cotonou,Benin,6.3676953,2.4252507,Access to education for young school drop-outs in Cotonou,0.0005095,2022.0,BMZ,no,Cotonou
60,449.0,Gao,Mali,16.2788129,-0.0412392,"Dans la région de Gao, comme dans l'ensemble du nord du Mali, on observe la combinaison d'une détérioration de la situation sécuritaire et de la lenteur de la mise en oeuvre de l'accord de paix de 2015, associée à la fragilité de l'État et des problèmes structurels à multiples niveaux. ŒL'objectif du programme est de contribuer à la stabilisation et à la consolidation de la paix dans la région de Gao à travers l'amélioration des conditions de vie de populations. Pour cela, l'accent est mis sur la réhabilitation des pistes rurales. En plus, des activités connexes seront financées le long des pistes améliorées pour contribuer à renforcer leur impact socio-économique et en même temps renforcer la résilience de la population locale. Tout comme les tronçons de pistes, les mesures concrètes au cours de la mise en oeuvre seront sélectionnées avec la participation étroite de la population et des collectivités territoriales en vue de leurs besoins, et peuvent inclure, par exemple, des activités économiques marchandes, telles que des infrastructures de marché. La réalisation des travaux de construction, dans la mesure du possible, en haute intensité de main d'oeuvre (« cash for work ») doit permettre de créer des opportunités temporaires de revenus et d'emplois, ce qui doit montrer aux jeunes en particulier une perspective au-delà de la violence. Enfin, les capacités des acteurs locaux les plus importants pour la mise en oeuvre, l'exploitation et la maintenance des mesures individuelles doivent être renforcées. Le Ministère de l'Administration Territoriale et de la Décentralisation (MATD) agit comme promoteur politique du projet. Le promoteur du projet, responsable pour la mise en oeuvre du programme, est la Deutsche Welthungerhilfe (WHH) en coopération avec une ONG locale. Le principal groupe cible qui bénéficiera de ces mesures est la population rurale de la région de Gao. La mise en oeuvre a commencé en janvier 2022 et est prévue pour une période de 42 mois.",0.009933119499999999,2022.0,BMZ,no,Gao
61,450.0,Nkawkaw,Ghana,6.552795,-0.769811,Mother-Child centre at Holy Family Hospital in Nkawkaw,0.0,2022.0,BMZ,no,Nkawkaw
62,462.0,Jerusalem,Palestinian Territory,,,Non-formal education for children and young people in the catchment areas of Jerusalem and Bethlehem,0.00105,2022.0,BMZ,yes,Jerusalem
63,464.0,Palestine,"Middle East, regional",,,"The since 2011 ongoing civil war in Syria, has caused massive refugee movements to neighboring countries. The high number of refugees in those countries is adding to the already high pressure on resources, making access to basic services more difficult, especially for the poor population. The Palestinian refugee camps in Lebanon and Jordan, which were already heavily overburdened before, are affected by this as well. ŒThe objective of the SI-funded project is to strengthen the resilience of Palestinian refugees and maintain their access to basic services in the areas of (environmental) health and education, contributing to the stabilization of neighboring countries of Syria and reduce the impact on refugees. ŒFunding will be provided for UNRWA teachers in Lebanon and Jordan as well as (environmental) health staff in Lebanon. This will provide Palestine refugees from Syria and Palestine refugees in host countries with access to schooling in UNRWA-run schools and access to primary health care in UNRWA health centers, in addition to supporting the provision of water supply and waste management in Palestinian refugee camps in Lebanon. ŒThus, the intervention aims to increase stability in refugee camps by supporting UNRWA in meeting its funding needs for providing basic (environmental) health and education services. The SI-funded project is implemented by UNRWA in Lebanon and Jordan. Œ",0.18,2022.0,BMZ,no,Palestine
64,489.0,Veracruz,Mexico,19.333333,-96.666667,Promoting community organising processes to strengthen women's rights and reduce sexualised violence in the state of Veracruz,0.00046935,2022.0,BMZ,no,Veracruz
65,506.0,Cochabamba,Bolivia,-17.401245799999998,-66.16756808852,"Improving livelihoods through sustainable agriculture in rural and peri-urban communities in the Cochabamba region, Bolivia",0.00144375,2022.0,BMZ,no,Cochabamba
66,507.0,Patna,India ,,,"Accompanying marginalised families from Patna, Bihar, on housing, gainful employment, education and legal entitlements.",0.0003325,2022.0,BMZ,no,Patna
67,512.0,Bacolod,Philippines,10.6762836,122.9513786,"Improving the community health programme to support those in need in the context of the COVID 19 pandemic, Bacolod, Philippines",0.0004975,2022.0,BMZ,no,Bacolod
68,513.0,Granada,Colombia,6.1442998,-75.1844057,"Strengthening human rights in the Diocese of Granada, Department of Meta",0.00088985,2022.0,BMZ,no,Granada
