,Unnamed: 0,Index,Cities,Recipient Name,Lat,Lon,Long Description,Value,YEAR,duplicate_project,City,Donor Agency
29,29,269.0,Amman,Jordan,31.9515694,35.9239625,"The programme takes on measures for systematic water loss reduction in the middle and northern governorates and Amman, as well as for wastewater purification and reuse.",0.67691375,2018.0,no,Amman,Kreditanstalt für Wiederaufbau
30,30,299.0,Tirana,Albania,41.3305141,19.82556285758297,"The project supports trough vocational training the labour market integration of disadvantaged and marginalized people in Albania. Project regions are Tirana, Diber and Kukes.",0.15461702,2018.0,no,Tirana,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
31,31,307.0,Skopje,North Macedonia,41.9961816,21.4319213,Social inclusion and economic empowerment of youngsters and young parents at risk through income generating measures in Skopje,0.15289744,2018.0,no,Skopje,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
32,32,308.0,Gevgelija,North Macedonia,41.1388664,22.5033192,"Capacity building+strengthening social inclusion of people living with handicaps through community based social therapy centre in Gevgelija, Macedonia",0.09795822,2018.0,no,Gevgelija,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
33,33,310.0,Prizren,Kosovo,42.2130151,20.7363339,"Extension of multipurpose hall of secondary school in Prizren, Kosovo",0.35406586,2018.0,no,Prizren,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
34,34,311.0,Gjilan,Kosovo,42.463515,21.4693599,"Extending and equiping a school centre in Gjilan, Kosovo",0.11046855,2018.0,no,Gjilan,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
35,35,313.0,Prizren,Kosovo,42.2130151,20.7363339,"Construction of a socio-educational facility in Prizren, Kosovo",0.21243951,2018.0,no,Prizren,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
36,36,332.0,Odessa,Ukraine,46.4843023,30.7322878,Strengthening the sustainability of the Network for the support of people living with HIV in the region of Odessa/Ukraine.,0.11922283,2018.0,no,Odessa,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
37,37,348.0,Washington,"Europe, regional",,,"The project comprises activities in Washington DC.Brussels, Istanbul and in Berlin, that aim to contribute to an international dialogue about global development based on principles of sustainability, social justice, peace and genderequality and to help develop and communicate regional perspectives oil these issues in the EU-Neighborhood, specifically in Turkey.",2.87319173,2018.0,yes,Washington,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
38,38,361.0,Sohag,Egypt,26.76246285,32.090993613434186,"Improvement of the infrastructure and teaching methods for accreditation purposes of 16 schools in Assiut, Minia, Sohag and Luxor, Egypt",0.10031866,2018.0,yes,Sohag,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
39,39,367.0,Alexandria,Egypt,31.1991806,29.8951716,"Improving diagnostic and interventional capacities for psychologists in Alexandria, Kairo and Assiout",0.12238876,2018.0,no,Alexandria,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
40,40,371.0,Cairo,Egypt,30.0443879,31.2357257,Support of training courses for domestic health and geriatric care as well as a home care service in northern quarters of Cairo,0.06196152,2018.0,no,Cairo,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
41,41,372.0,Alexandria,Egypt,31.1991806,29.8951716,Education on reproductive health care with emphasis on prevention of Female Genital Mutilation (FGM) at Alexandria,0.00436681,2018.0,no,Alexandria,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
42,42,376.0,Alexandria,Egypt,31.1991806,29.8951716,"Supporting women initiatives to strengthen participation and development commitment in the outskirts of Alexandria, Egypt",0.04602856,2018.0,no,Alexandria,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
43,43,385.0,Rabat,Morocco,34.02236,-6.8340222,"Promotion of opportunities for sub-saharan migrants and maroccans in a disadvantaged district in the city of Rabat, morocco",0.10553287,2018.0,no,Rabat,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
44,44,387.0,Casablanca,Morocco,33.5950627,-7.6187768,Amelioration of living conditions and social involvement of women and young of both sex in a socially disadvantaged area in Casablanca,0.13777293,2018.0,no,Casablanca,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
45,45,401.0,Tunis,"North of Sahara, regional",33.8439408,9.400138,The goal of the activities in the part-program Tunis lies in the strengthening of capacities in the parliamentary work and later on also on the municipal level in the area of environmental policy.The goal of the activities in the part-program Morocco lies in the sensitizing of the Moroccan civil society in general as well as in policy makers in particular with regard to the enhancement of the discourse in the topics migration and refugees in the field of human rights.,0.21361973,2018.0,no,Tunis,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
46,46,409.0,Benguela,Angola,-12.9104657,14.0356608,"Strengthening civic participation of local grassroot communities in Bairro da Graca, Benguela",0.01416263,2018.0,no,Benguela,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
47,47,423.0,Saurimo,Angola,-9.6589303,20.3981118,"Strengthening sustainable development, food security and organizational capacities of small holder farmers households in the Archdiocese of Saurimo",0.14878239,2018.0,no,Saurimo,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
48,48,434.0,Parakou,Benin,9.3400159,2.6278258,"Community driven water sanitation, hygiene initiatives in Parakou, Archdiocese Benin",0.22424171,2018.0,no,Parakou,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
49,49,444.0,Kaya,Burkina Faso,13.085603,-1.0839593,"Extension of diocesan community-outreach and educational centre in Kaya, Burkina Faso",0.1360622,2018.0,no,Kaya,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
50,50,446.0,Ouagadougou,Burkina Faso,12.3681873,-1.5270944,Improving access to secundary education for girls in Ouagadougou,0.33211377,2018.0,no,Ouagadougou,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
51,51,447.0,Bobo-Dioulasso,Burkina Faso,11.1757783,-4.2957591,Etablishment of a Technical and Professional Training Center in Bobo-Dioulasso,0.07069987,2018.0,no,Bobo-Dioulasso,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
52,52,449.0,Ouagadougou,Burkina Faso,12.3681873,-1.5270944,Improving basic health care and medical support for people living with disabilities in Ouagadougou,0.1575003,2018.0,no,Ouagadougou,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
53,53,452.0,Ouagadougou,Burkina Faso,12.3681873,-1.5270944,"Construction+equipment climate-friendly of a administrative building+strength work-episcopal justice and peace commission, Ouagadougou, Burkina Faso",0.15342854,2018.0,no,Ouagadougou,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
54,54,469.0,Ngozi,Burundi,-2.8776895,29.8994986,Establishment of climate change adaptation capacities in particularly vulnerable regions of the Ngozi province,0.31472442,2018.0,no,Ngozi,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
55,55,473.0,Bujumbura,Burundi,-3.3638125,29.3675028,"Support for Centre Jeunes Kamenge / Bujumbura in the fields of HIV prevention, coordination of local self-help initiatives and peace work, Burundi",0.06414493,2018.0,no,Bujumbura,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
56,56,474.0,Ruyigi,Burundi,-3.5172574,30.2480394,Promoting reconciliation as part of the national peace process in Ruyigi,0.01947362,2018.0,no,Ruyigi,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
57,57,475.0,Ruyigi,Burundi,-3.5172574,30.2480394,"Consolidating peace and reconcilation initiatives in Ruyigi, Burundi",0.01888351,2018.0,no,Ruyigi,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
58,58,476.0,Bujumbura,Burundi,-3.3638125,29.3675028,"Suppoting youth work in Bujumbura, Burundi",0.05328691,2018.0,no,Bujumbura,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
59,59,477.0,Bujumbura,Burundi,-3.3638125,29.3675028,"By strengthening the community and promoting self-help structures, the living conditions in precarious districts of Bujumbura and neighboring rural areas are improving.",0.26366104,2018.0,no,Bujumbura,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
60,60,480.0,Ruyigi,Burundi,-3.5172574,30.2480394,"Improving socio-economic situation of small scale farmer households in Ruyigi, Burundi",0.07517998,2018.0,no,Ruyigi,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
61,61,498.0,Douala,Cameroon,4.0429408,9.706203,Support of youth from the metropolitan Douala in vocational training and career,0.02773516,2018.0,no,Douala,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
62,62,499.0,Douala,Cameroon,4.0429408,9.706203,"Vocational training and facilitation of career entry in Douala, Cameroon",0.14929777,2018.0,no,Douala,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
63,63,507.0,Yagoua,Cameroon,10.344361,15.226549,"Basic health services and health education in rural areas of Yagoua, Cameroon",0.14224596,2018.0,no,Yagoua,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
64,64,517.0,Kumbo,Cameroon,6.2108889,10.6867788,"Third phase of village pipe borne water supply programme and accompanying rural populations on water systems management and water safety measures, Diocese of Kumbo",0.01050395,2018.0,no,Kumbo,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
65,65,519.0,Kumbo,Cameroon,6.2108889,10.6867788,"Improvement of water supply in the diocese of Kumbo, Cameroon",0.24076478,2018.0,no,Kumbo,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
66,66,533.0,Bamenda,Cameroon,5.9614117,10.1516505,"Protection of rights of vulnerable groups in the Archdiocese of Bamenda, Cameroon",0.07225304,2018.0,no,Bamenda,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
67,67,534.0,Douala,Cameroon,4.0429408,9.706203,"Human rights advocacy for the right to housing and activism against forced displacement in Douala, Cameroon",0.12274283,2018.0,no,Douala,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
68,68,535.0,Douala,Cameroon,4.0429408,9.706203,"Legal aid, accompaniment and professional reintegration of prisoners of Douala central prison, Cameroon",0.10385932,2018.0,no,Douala,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
69,69,547.0,Yaoundé,Cameroon,3.8689867,11.5213344,Social reintegration of street children and imprisoned youth in Yaoundé,0.01144813,2018.0,no,Yaoundé,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
70,70,554.0,Bafoussam,Cameroon,5.4758083,10.4215565,Agricultural development in the diocese Bafoussam,0.10444943,2018.0,no,Bafoussam,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
71,71,559.0,Garoua,Cameroon,9.3070698,13.3934527,"Strengthening sustainable and small-scale farming in Garoua, Cameroon",0.17898029,2018.0,no,Garoua,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
72,72,560.0,Yagoua,Cameroon,10.344361,15.226549,"Strengthening small-scale farming in the diocese of Yagoua, Cameroon",0.14111295,2018.0,no,Yagoua,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
73,73,564.0,Mongo,Chad,12.1842561,18.6842092,Sustaining rural libraries in the Apostolic Vicariate of Mongo,0.04142571,2018.0,no,Mongo,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
74,74,566.0,Pala,Chad,9.3662802,14.9097028,Improving educational quality of secondary pupils through informal educational activities in Pala,0.06443999,2018.0,no,Pala,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
75,75,570.0,Doba,Chad,8.6592029,16.8538495,"Improving basic health services in Doba, Togo",0.09464922,2018.0,no,Doba,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
76,76,572.0,Mongo,Chad,12.1842561,18.6842092,Improving health conditions within the catchment area of the Apostolic Prefecture Mongo,0.0666824,2018.0,no,Mongo,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
77,77,594.0,Abidjan,Côte d'Ivoire,5.320357,-4.016107,"Construction of training centre and office building for an panafrican network in Abidjan, Ivory Coast",0.43432078,2018.0,no,Abidjan,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
78,78,595.0,Daloa,Côte d'Ivoire,6.8766904,-6.4516096,"Vocational training for youth without school leaving certificate in Daloa, Ivory Coast",0.07671427,2018.0,no,Daloa,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
79,79,596.0,Abobo,Côte d'Ivoire,5.435487,-4.029007,"Strengthening civic participation with emphasis on combatting youth unemployment in Abobo and Cocody neighborhood of Abidjan, Ivory Coast",0.07024667,2018.0,yes,Abobo,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
80,80,597.0,Abidjan,Côte d'Ivoire,5.320357,-4.016107,"Improving youth employment opportunities and urban community development in Abidjan, Ivory Coast",0.19485424,2018.0,no,Abidjan,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
81,81,606.0,Bukavu,Democratic Republic of the Congo,-2.5055839,28.8594885,"Extension and equipment of a church run university-faculty of agriculture and environmental-management, Bukavu, DR Congo",0.016368,2018.0,no,Bukavu,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
82,82,607.0,Goma,Democratic Republic of the Congo,-1.6665685,29.225652,"Extension of a church run university-faculty of applied technologie, Goma, Dem. Rep. Congo",0.00324348,2018.0,no,Goma,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
83,83,617.0,Goma,Democratic Republic of the Congo,-1.6665685,29.225652,"Voccational training in Goma, DRC",0.15342854,2018.0,no,Goma,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
84,84,620.0,Saint Joseph,Democratic Republic of the Congo,,,"Establishing training courses for solar technicians at the Saint Joseph vocational training school, Mont Ngafula Kinshasa, DR Congo",0.01144813,2018.0,yes,Saint Joseph,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
85,85,621.0,Bukavu,Democratic Republic of the Congo,-2.5055839,28.8594885,"Training of 11 specialists at the Université Evangélique and Panzi Hospital, Bukavu",0.05665467,2018.0,no,Bukavu,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
86,86,630.0,Lubumbashi,Democratic Republic of the Congo,-11.6642316,27.4826264,Amplifying basic health care in Lubumbashi,0.17675127,2018.0,no,Lubumbashi,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
87,87,631.0,Kinshasa,Democratic Republic of the Congo,-4.3217055,15.3125974,Amplifying basic health services in the archdiocese of Kinshasa,0.11094063,2018.0,no,Kinshasa,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
88,88,636.0,Kikwit,Democratic Republic of the Congo,-5.0610453,18.808744282510744,Coordination of basic health care services and preventive medicine in the diocese of Kikwit,0.19845541,2018.0,no,Kikwit,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
89,89,637.0,Kikwit,Democratic Republic of the Congo,-5.0610453,18.808744282510744,Coordination and improvement of basic health care services in the diocese of Kikwit,0.00451253,2018.0,no,Kikwit,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
90,90,645.0,Uvira,Democratic Republic of the Congo,-3.4072776,29.135285430706507,Expanding the fight against HIV/AIDS an malaria in the territories of Uvira and Walungu,0.12938747,2018.0,no,Uvira,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
91,91,652.0,Bunia,Democratic Republic of the Congo,1.5620529,30.2478844,"Basic drinking water supply and basic sanitation in Bunia, DRC",0.09913844,2018.0,no,Bunia,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
92,92,659.0,Goma,Democratic Republic of the Congo,-1.6665685,29.225652,Psychosocial support and advocacy for survivors of sexual abuse in Goma,0.01298241,2018.0,no,Goma,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
93,93,660.0,Goma,Democratic Republic of the Congo,-1.6665685,29.225652,"Dans la province en crise au Nord - Kivu + Goma, le projet mobilise particulièrement les femmes et les jeunes sur les plans politique, culturel et économique afin de contribuer à la stabilisation de la région.",0.05901511,2018.0,no,Goma,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
94,94,664.0,Kinshasa,Democratic Republic of the Congo,-4.3217055,15.3125974,Reintegration of excluded children and public sensitization in favour of children rights in Kinshasa,0.08497581,2018.0,no,Kinshasa,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
95,95,666.0,Kinshasa,Democratic Republic of the Congo,-4.3217055,15.3125974,Professional and social integration of marginalized and underprivileged children and youth in Kinshasa,0.06373185,2018.0,no,Kinshasa,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
96,96,668.0,Bukavu,Democratic Republic of the Congo,-2.5055839,28.8594885,"Socia and economic reintegration of marginalized girls in Bukavu, Congo",0.0666824,2018.0,no,Bukavu,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
97,97,671.0,Kinshasa,Democratic Republic of the Congo,-4.3217055,15.3125974,"Rehabilitation and integration of Street children in Kinshasa, DRC",0.08379559,2018.0,no,Kinshasa,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
98,98,676.0,Lubumbashi,Democratic Republic of the Congo,-11.6642316,27.4826264,Integrated approach to strengthening of womens' farmers organisations with focus on gender equality and income generation in Lubumbashi,0.22306149,2018.0,no,Lubumbashi,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
99,99,680.0,Bandundu,Democratic Republic of the Congo,-4.4137734,18.29412146181244,Increasing Food Security in the Provinces of Bandundu and Kinshasa,0.18883512,2018.0,yes,Bandundu,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
100,100,742.0,Addis Ababa,Ethiopia,9.0107934,38.7612525,"This project focuses on improving the sexual & reproductive health status as well as enhancing the capacity of beneficiaries towards HIV/AIDS prevention and control in Addis Ababa, Diredawa and Gonder cities through various service delivery, behavioral change and capacity building activities.",0.08521598,2018.0,no,Addis Ababa,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
101,101,748.0,Bahir Dar,Ethiopia,11.5949663,37.3882251,Strengthening Human Rights and Peace Work in the diocese of Bahir Dar,0.14634722,2018.0,no,Bahir Dar,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
102,102,749.0,Jijiga,Ethiopia,9.3508526,42.8003788,Economic empowerment and educational attainment of adolescent girls in Jijiga,0.00102771,2018.0,no,Jijiga,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
103,103,783.0,Takoradi,Ghana,4.887401,-1.7519316,Livelihood enhancement for youth in the Takoradi metropolis through improved apprenticeship,0.07754455,2018.0,no,Takoradi,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
104,104,784.0,Accra,Ghana,5.5571096,-0.2012376,"Supporting vocational training for street children in Accra, Ghana",0.10666234,2018.0,no,Accra,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
105,105,788.0,Kumasi,Ghana,6.6985605,-1.6233086,Street Children Project in Kumasi,0.01416263,2018.0,no,Kumasi,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
106,106,789.0,Accra,Ghana,5.5571096,-0.2012376,Non-formal vocational training and basic life skills for street children in Accra,0.00063945,2018.0,no,Accra,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
107,107,790.0,Obuasi,Ghana,6.211542,-1.6894045,Reduction of Unemployment among the youth by providing Apprenticeships in Obuasi,0.04243007,2018.0,no,Obuasi,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
108,108,796.0,Ho,Ghana,6.6126598,0.4688932,"Strengthening self help capacities, especially of women, in the diocese of Ho, Ghana",0.048389,2018.0,no,Ho,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
109,109,799.0,Sekondi-Takoradi,Ghana,4.927456,-1.7490216,Sekondi-Takoradi Chamber of Commerce and Industry is organizationally sustainable erected and supports its members and other businesses in the Western Region by offering attractive services.,0.12746371,2018.0,no,Sekondi-Takoradi,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
110,110,804.0,Kissidougou,Guinea,9.2101274,-10.1215917,Sustainable agriculture and food security in Kissidougou,0.04699339,2018.0,no,Kissidougou,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
111,111,810.0,Homa Bay,Kenya,-0.56396015,34.31878185590796,"A contribution to improved access to health and an improvement of the socio-economic status of PLHIV, those affected by HIV  and the disadvantaged living in Homa Bay County",0.1423929,2018.0,no,Homa Bay,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
112,112,816.0,Siaya,Kenya,-0.06040135,34.200135009996295,"DECHA integrated food security project, Phase 2   The project aim is to improve the sustainable livelihoods of the targeted population of Siaya, Kisumu and Homa Bay counties",0.28374543,2018.0,yes,Siaya,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
113,113,823.0,Mombasa,Kenya,-4.05052,39.667169,Job Skills Training Programme at the Marianist Training Centre in Mombasa,0.10503954,2018.0,no,Mombasa,Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung
